"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"184",0,1,207,1,5,3,"1e506ec",17,1
"194",0,1,221,1,4,3,"1e506ec",18,1
"204",1,1,216,1,1,3,"1e506ec",19,1
"217",1,1,202,4,4,3,"1e506ec",20,1
"224",1,1,404,6,6,3,"1e506ec",21,1
"234",1,1,416,1,1,3,"1e506ec",22,1
"244",0,1,293,1,5,3,"1e506ec",23,1
"254",0,1,303,4,1,3,"1e506ec",24,1
"264",0,0,331,4,4,3,"1e506ec",25,1
"274",0,1,223,6,1,3,"1e506ec",26,1
"284",1,1,299,6,6,3,"1e506ec",27,1
"294",1,1,345,5,5,3,"1e506ec",28,1
"304",1,1,348,5,5,3,"1e506ec",29,1
"317",0,1,275,6,1,3,"1e506ec",30,1
"324",0,0,1506,6,6,3,"1e506ec",31,1
"334",1,1,139,4,4,3,"1e506ec",32,1
"344",0,1,176,4,1,3,"1e506ec",33,1
"354",1,1,82,1,1,3,"1e506ec",34,1
"364",0,1,198,5,1,3,"1e506ec",35,1
"374",0,1,243,4,1,3,"1e506ec",36,1
"384",1,1,232,5,5,3,"1e506ec",37,1
"394",1,1,192,4,4,3,"1e506ec",38,1
"404",0,1,147,1,5,3,"1e506ec",39,1
"417",1,1,233,6,6,3,"1e506ec",40,1
"424",1,1,250,1,1,3,"1e506ec",41,1
"434",0,1,303,6,1,3,"1e506ec",42,1
"444",0,1,165,5,1,3,"1e506ec",43,1
"454",1,1,272,4,4,3,"1e506ec",44,1
"464",1,1,315,6,6,3,"1e506ec",45,1
"474",0,1,254,4,1,3,"1e506ec",46,1
"484",1,1,185,1,1,3,"1e506ec",47,1
"494",1,1,276,5,5,3,"1e506ec",48,1
"504",0,1,294,6,1,3,"1e506ec",49,1
"517",0,1,198,1,6,3,"1e506ec",50,1
"524",1,1,305,5,5,3,"1e506ec",51,1
"534",1,1,286,4,4,3,"1e506ec",52,1
"544",1,1,361,6,6,3,"1e506ec",53,1
"554",1,1,324,1,1,3,"1e506ec",54,1
"564",0,1,423,5,1,3,"1e506ec",55,1
"574",0,1,223,4,1,3,"1e506ec",56,1
"584",0,1,342,1,4,3,"1e506ec",57,1
"594",1,1,343,5,5,3,"1e506ec",58,1
"604",0,1,221,6,1,3,"1e506ec",59,1
"617",0,1,248,1,5,3,"1e506ec",60,1
"624",1,1,288,6,6,3,"1e506ec",61,1
"634",1,1,159,4,4,3,"1e506ec",62,1
"644",1,1,91,1,1,3,"1e506ec",63,1
"654",1,1,236,1,1,3,"1e506ec",64,1
"664",1,1,417,5,5,3,"1e506ec",65,1
"674",1,1,296,4,4,3,"1e506ec",66,1
"684",1,1,187,6,6,3,"1e506ec",67,1
"694",0,1,192,5,1,3,"1e506ec",68,1
"704",0,1,203,4,1,3,"1e506ec",69,1
"714",0,1,325,6,1,3,"1e506ec",70,1
"218",1,0,644,1,4,2,"1c57828",1,1
"318",1,0,359,1,6,2,"1c57828",2,1
"418",0,0,394,1,1,2,"1c57828",3,1
"518",1,1,295,5,5,2,"1c57828",4,1
"618",0,1,272,5,1,2,"1c57828",5,1
"76",0,0,298,4,4,2,"1c57828",6,1
"85",1,1,262,6,6,2,"1c57828",7,1
"95",1,1,218,5,5,2,"1c57828",8,1
"105",1,1,272,1,1,2,"1c57828",9,1
"115",0,1,258,1,4,2,"1c57828",10,1
"125",1,1,234,4,4,2,"1c57828",11,1
"135",1,0,220,1,5,2,"1c57828",12,1
"145",0,1,363,6,1,2,"1c57828",13,1
"155",0,0,279,6,6,2,"1c57828",14,1
"165",0,0,238,1,1,2,"1c57828",15,1
"175",1,1,254,5,5,2,"1c57828",16,1
"185",1,1,297,6,6,2,"1c57828",17,1
"195",0,1,315,4,1,2,"1c57828",18,1
"205",1,0,227,5,1,2,"1c57828",19,1
"219",0,0,300,4,4,2,"1c57828",20,1
"225",1,0,429,1,6,2,"1c57828",21,1
"235",1,1,234,1,1,2,"1c57828",22,1
"245",1,0,412,1,5,2,"1c57828",23,1
"255",1,1,247,5,5,2,"1c57828",24,1
